county,year,month,wildfire_acres
Fresno,2018.0,11.0,41.261920000000025
Fresno,2019.0,4.0,44.81123
Fresno,2019.0,5.0,134.11936000000037
Fresno,2019.0,6.0,102.99559199999993
Fresno,2019.0,7.0,14.614889999999997
Fresno,2019.0,9.0,354.92614999999995
Fresno,2019.0,10.0,164.80591000000018
Glenn,2000.0,3.0,1110.208999999999
Glenn,2001.0,5.0,459.64807890379797
Glenn,2001.0,7.0,125.30050000000003
Glenn,2001.0,8.0,11093.481331081308
Glenn,2003.0,9.0,8660.17361184321
Glenn,2005.0,8.0,324.6967000000002
Glenn,2006.0,7.0,3121.871071187998
Glenn,2012.0,7.0,342.4660926560817
Glenn,2013.0,5.0,208.3873999999999
Glenn,2013.0,6.0,225.71489999999986
Glenn,2014.0,1.0,17.01346
Glenn,2014.0,9.0,251.6171999999998
Glenn,2016.0,7.0,1.5975770000000005
Glenn,2018.0,5.0,76.98340000000006
Glenn,2018.0,6.0,2372.1038999999973
Glenn,2018.0,7.0,38705.64315494255
Glenn,2019.0,7.0,4.376543000000001
Humboldt,2000.0,7.0,28.470084497588807
Humboldt,2001.0,7.0,316.55580000000003
Humboldt,2001.0,9.0,62.42817999999995
Humboldt,2002.0,9.0,17.351079999999996
Humboldt,2002.0,10.0,18.950720000000004
Humboldt,2003.0,6.0,473.56956999999977
Humboldt,2003.0,7.0,15.613519999999998
Humboldt,2003.0,9.0,23169.57986499999
Humboldt,2003.0,10.0,278.7794000000003
Humboldt,2004.0,7.0,2002.1519263409025
Humboldt,2004.0,9.0,47.354240000000004
Humboldt,2004.0,10.0,570.0759999999989
Humboldt,2006.0,7.0,6583.228518429923
Humboldt,2006.0,8.0,33.94157000000005
Humboldt,2006.0,10.0,72.60716999999966
Humboldt,2007.0,7.0,73.42813000000002
Humboldt,2007.0,9.0,23.891783000000004
Humboldt,2007.0,10.0,52.97295000000002
Humboldt,2008.0,6.0,10371.754679939348
Humboldt,2008.0,7.0,41.50760999999999
Humboldt,2008.0,8.0,86.49034348051364
Humboldt,2008.0,9.0,156.65831000000006
Humboldt,2008.0,10.0,56.645280000000035
Humboldt,2009.0,1.0,211.7602500000003
Humboldt,2009.0,7.0,1786.9889083709204
Humboldt,2009.0,8.0,22.355146
Humboldt,2009.0,9.0,147.21899299999993
Humboldt,2009.0,10.0,3037.2330730000026
Humboldt,2010.0,9.0,202.35499999999988
Humboldt,2011.0,7.0,523.9898000000002
Humboldt,2011.0,11.0,117.93690000000001
Humboldt,2012.0,8.0,121.83420000000002
Humboldt,2012.0,10.0,81.03485829999994
Humboldt,2013.0,7.0,688.6284167579772
Humboldt,2013.0,8.0,11743.048320794891
Humboldt,2014.0,1.0,349.59412
Humboldt,2014.0,8.0,31.34397
Humboldt,2014.0,9.0,234.85859000000016
Humboldt,2015.0,6.0,179.64001953270397
Humboldt,2015.0,7.0,36584.050516889445
Humboldt,2015.0,8.0,1516.9240071214883
Humboldt,2016.0,8.0,682.6807800000007
Humboldt,2017.0,3.0,86.70773000000004
Humboldt,2017.0,8.0,73.72929999999997
Humboldt,2018.0,2.0,13.001929999999996
Humboldt,2018.0,4.0,229.38185713232667
Humboldt,2018.0,7.0,15.267549999999982
Humboldt,2018.0,8.0,7.955440000000009
Humboldt,2018.0,9.0,3676.6829999999927
Humboldt,2018.0,11.0,81.15427999999994
